fileSize,single,buffer1k,buffer8k,buffer32k
64,241,8,6,5
128,451,6,7,7
256,898,7,6,5
512,1780,9,8,7
1024,3583,16,12,11
2048,7160,28,19,19
4096,14345,70,44,33
8192,28712,112,175,64
16384,57661,260,134,124
32768,117093,405,378,262
64,226,4,4,3
128,450,4,5,4
256,896,6,6,5
512,1783,10,7,7
1024,3590,16,12,11
2048,7162,28,19,19
4096,14539,52,36,33
8192,28986,104,77,65
16384,57920,200,133,125
32768,116771,407,265,250
64,227,4,4,4
128,450,5,4,4
256,896,6,6,6
512,1789,9,8,7
1024,3598,16,12,12
2048,7165,29,19,19
4096,14451,54,36,33
8192,28908,103,69,64
16384,59330,201,134,123
32768,116707,408,263,250
64,231,4,4,4
128,458,6,4,4
256,901,7,5,5
512,1788,10,8,7
1024,3582,17,12,11
2048,7253,29,22,19
4096,14511,53,36,33
8192,28962,103,69,64
16384,57956,202,134,125
32768,116616,405,263,246
64,233,4,4,4
128,455,5,4,5
256,896,6,7,5
512,1796,9,8,7
1024,3580,16,12,12
2048,7130,28,20,18
4096,14478,55,37,40
8192,28880,103,70,64
16384,58004,203,132,123
32768,116495,405,272,249
64,231,5,4,3
128,449,5,5,4
256,898,7,5,5
512,1788,10,7,8
1024,3601,16,12,11
2048,7138,28,20,18
4096,14483,53,37,33
8192,29153,109,78,74
16384,59542,209,133,125
32768,116511,407,266,247
64,231,4,4,4
128,454,5,5,4
256,915,7,5,5
512,1787,10,8,7
1024,3564,16,13,11
2048,7197,29,20,19
4096,14506,53,36,33
8192,29004,102,71,66
16384,57962,205,135,127
32768,116609,403,265,254
64,230,4,4,4
128,450,5,5,4
256,897,7,5,5
512,1794,10,7,8
1024,3597,17,11,13
2048,7173,28,20,19
4096,14480,54,36,33
8192,29091,104,69,65
16384,57932,203,134,123
32768,116876,406,269,248
64,229,4,4,4
128,451,5,5,4
256,897,7,5,6
512,1780,9,8,7
1024,3598,16,12,11
2048,7156,28,20,19
4096,14484,54,38,33
8192,29160,104,68,65
16384,58103,204,134,123
32768,116637,404,266,253
64,235,4,4,4
128,457,5,5,4
256,895,6,5,6
512,1780,9,8,7
1024,3577,16,12,11
2048,7181,29,20,19
4096,14539,56,36,34
8192,29000,104,68,64
16384,58484,201,137,128
32768,116483,404,310,246
64,234,4,4,4
128,451,5,5,4
256,908,6,6,5
512,1794,10,7,7
1024,3603,16,12,11
2048,7210,30,21,19
4096,14572,55,37,33
8192,28895,104,69,64
16384,58042,204,133,127
32768,116680,406,272,251
64,230,4,4,4
128,450,5,4,4
256,897,7,5,5
512,1783,10,7,7
1024,3595,16,12,11
2048,7168,29,20,19
4096,14473,53,37,33
8192,28963,102,68,65
16384,58237,201,135,126
32768,116771,404,266,251
64,228,4,4,4
128,456,5,4,4
256,898,6,6,6
512,1789,10,8,7
1024,3675,16,12,11
2048,7171,28,20,19
4096,14493,52,37,33
8192,28898,103,69,63
16384,58042,202,135,128
32768,116917,402,265,253
64,230,4,4,3
128,451,5,5,4
256,901,7,6,6
512,1792,10,7,7
1024,3603,15,12,11
2048,7205,28,20,18
4096,14459,53,37,33
8192,28917,104,69,65
16384,58064,203,135,124
32768,116424,403,265,248
64,229,5,3,4
128,451,5,4,5
256,902,6,6,5
512,1785,9,8,7
1024,3569,16,11,12
2048,7198,29,20,19
4096,14479,54,36,34
8192,28948,102,68,74
16384,57821,202,137,124
32768,116668,406,264,246
64,228,4,4,4
128,454,5,4,5
256,906,6,5,6
512,1789,10,8,7
1024,3587,16,12,11
2048,7172,29,20,19
4096,14463,54,36,34
8192,28919,102,69,64
16384,57855,201,141,123
32768,116655,414,266,249
64,230,4,4,8
128,458,5,5,4
256,899,6,6,5
512,1788,10,8,7
1024,3583,16,12,11
2048,7148,29,20,19
4096,14522,53,36,34
8192,28941,103,70,67
16384,57957,207,135,124
32768,116662,400,266,252
64,229,4,4,3
128,508,5,4,5
256,895,7,5,6
512,1787,10,7,7
1024,3581,17,12,11
2048,7146,28,20,19
4096,14456,53,36,34
8192,29004,103,74,64
16384,57909,202,133,127
32768,116590,406,266,245
64,230,4,4,4
128,450,4,5,4
256,896,6,6,5
512,1781,10,7,7
1024,3586,16,13,11
2048,7209,29,20,18
4096,14451,53,37,33
8192,28973,106,69,63
16384,57866,205,135,124
32768,116571,404,264,258
64,229,4,4,4
128,454,5,4,4
256,893,7,5,5
512,1779,9,7,8
1024,3589,16,12,11
2048,7131,28,20,19
4096,14432,56,35,34
8192,28932,106,69,66
16384,57994,200,133,127
32768,116711,402,273,245
64,230,4,4,4
