fileSize,single,buffer1k,buffer8k,buffer32k
64,260,4,4,3
128,470,5,4,4
256,1088,5,71,70
512,1905,8,4,4
1024,3699,12,5,5
2048,7321,17,7,5
4096,14540,31,12,8
8192,29423,56,17,12
64,227,4,3,4
128,455,4,4,5
256,986,5,71,72
512,1807,9,4,5
1024,3581,11,4,4
2048,7172,30,6,5
4096,14672,30,11,8
8192,29293,58,19,13
64,226,4,4,3
128,455,5,4,4
256,972,72,71,71
512,1801,8,4,4
1024,3590,10,5,4
2048,7173,16,7,5
4096,14539,33,10,9
8192,29156,58,17,12
64,227,3,4,4
128,450,4,5,5
256,979,4,70,71
512,1805,8,4,4
1024,3588,13,8,7
2048,7167,16,7,34
4096,14555,31,10,7
8192,29188,58,17,12
64,228,4,4,4
128,451,3,5,5
256,973,4,70,71
512,1834,9,4,4
1024,3583,12,4,5
2048,7163,15,6,5
4096,14579,30,11,7
8192,29269,58,19,13
64,227,4,4,4
128,458,4,4,5
256,1062,23,71,71
512,1820,8,3,4
1024,3629,11,4,4
2048,7147,16,9,7
4096,14741,35,10,8
8192,29268,60,17,15
64,227,5,3,3
128,455,5,4,5
256,971,6,70,70
512,1796,8,4,4
1024,3633,11,5,5
2048,7179,18,7,4
4096,14827,28,9,7
8192,29179,57,16,19
64,226,4,4,4
128,452,3,4,5
256,985,5,70,70
512,1814,9,4,3
1024,3594,10,4,4
2048,7175,16,6,5
4096,14628,30,16,10
8192,29246,57,19,14
64,227,4,3,5
128,450,5,4,4
256,977,4,70,71
512,1813,7,4,16
1024,3586,11,4,5
2048,7172,16,7,4
4096,14627,29,10,8
8192,29146,57,16,23
64,228,4,4,4
128,454,4,4,4
256,995,5,77,87
512,2002,8,5,28
1024,3695,11,4,5
2048,7188,16,8,4
4096,14569,30,10,9
8192,29114,57,24,13
64,226,4,4,4
128,455,5,4,5
256,1004,5,70,71
512,1818,8,4,4
1024,3604,11,4,4
2048,7225,16,7,4
4096,14554,29,10,8
8192,30206,1040,23,14
64,266,4,3,4
128,470,5,4,4
256,1060,6,72,70
512,2021,8,4,4
1024,3715,10,5,4
2048,7600,15,10,9
4096,16329,96,26,25
8192,33180,59,26,14
64,264,5,4,4
128,486,4,6,4
256,1163,6,73,74
512,1955,9,4,5
1024,3971,12,5,4
2048,7694,17,7,6
4096,15773,33,11,9
8192,31477,61,19,13
64,240,4,5,4
128,483,4,6,4
256,1040,74,91,73
512,1922,7,4,4
1024,4336,13,5,46
2048,8122,19,5,5
4096,17125,36,14,11
8192,38814,446,22,17
64,294,4,5,3
128,545,5,4,4
256,1223,78,82,78
512,2022,9,4,6
1024,3934,12,4,5
2048,8620,19,7,5
4096,16660,30,12,10
8192,32758,65,18,12
64,244,5,2,6
128,503,4,5,5
256,1052,4,78,72
512,1984,8,4,4
1024,4122,13,6,6
2048,8294,17,9,4
4096,16897,53,15,10
8192,32692,70,20,13
64,256,5,3,4
128,496,4,4,5
256,1073,5,73,73
512,1983,9,4,5
1024,3879,11,6,5
2048,7930,17,7,4
4096,16961,31,12,9
8192,31692,59,18,14
64,244,4,4,4
128,495,5,4,6
256,1110,5,91,78
512,2131,10,7,11
1024,4591,19,10,6
2048,9861,18,8,4
4096,17477,62,13,9
8192,33081,65,16,14
64,250,4,3,3
128,491,5,4,4
256,1307,5,78,72
512,2147,8,4,4
1024,4240,12,5,5
2048,8339,17,8,4
4096,16526,75,10,8
8192,29380,56,16,13
64,228,4,4,3
128,457,6,4,4
256,975,5,71,72
512,1815,8,4,4
1024,3626,11,5,4
2048,7172,16,5,4
4096,14559,27,10,7
8192,30658,59,29,15
64,240,4,4,3
128,478,4,3,6
256,1017,4,72,72
512,1930,9,3,4
1024,3768,11,4,5
2048,7648,20,6,5
4096,15508,31,12,21
8192,31203,58,17,14
64,245,5,4,4
128,478,5,4,5
256,1043,6,72,73
512,1900,10,3,5
1024,3836,13,6,5
2048,7649,17,9,5
4096,15383,29,11,9
8192,30900,59,27,15
64,239,4,4,4
128,475,4,4,5
256,1060,5,5,72
512,1887,7,5,4
1024,3803,13,5,4
2048,7498,16,7,5
4096,15434,32,12,10
8192,31043,59,21,12
64,236,4,4,3
128,470,4,4,5
256,1011,72,71,74
512,1910,8,4,4
1024,3776,11,6,5
2048,7601,18,7,5
4096,15322,30,11,38
8192,30728,60,23,14
64,245,5,4,3
128,479,5,5,5
256,1008,5,71,73
512,1921,9,5,5
1024,3805,11,5,6
2048,7516,18,9,4
4096,15289,29,12,9
8192,31156,59,16,13
64,243,5,4,3
128,473,5,4,5
256,1016,4,75,5
512,1934,8,4,6
1024,3813,13,4,5
2048,7800,16,8,4
4096,15534,29,10,8
8192,30809,60,27,14
64,242,5,3,5
128,483,5,4,6
256,1022,5,71,75
512,2031,10,4,6
1024,3836,11,5,5
2048,7783,16,5,4
